,City,Lattitude,Longitude,Temperature,Max Temperature,Humidity,Pressure,Cloud Cover,Wind Speed,Feels Like,Weather
280,forssa,60.8146,23.6215,32.36,33.42,97.0,992.0,100.0,10.45,23.95,light snow
281,taoudenni,22.6783,-3.9836,77.29,77.29,28.0,1011.0,0.0,6.55,76.03,clear sky
282,belyy yar,53.6039,91.3903,37.29,37.29,75.0,1029.0,0.0,11.18,29.77,clear sky
283,cobija,-11.0267,-68.7692,78.73,78.73,71.0,1007.0,72.0,2.55,78.73,broken clouds
284,pangnirtung,66.1451,-65.7125,24.3,24.3,58.0,1011.0,86.0,8.08,15.4,overcast clouds
285,hasaki,35.7333,140.8333,61.2,62.89,56.0,1019.0,1.0,15.43,59.65,clear sky
286,yar-sale,66.8333,70.8333,27.14,27.14,94.0,987.0,89.0,8.61,18.54,overcast clouds
287,leningradskiy,69.3833,178.4167,4.73,4.73,85.0,1006.0,44.0,8.63,-7.87,scattered clouds
288,port lincoln,-34.7333,135.8667,60.28,60.28,52.0,1024.0,9.0,16.96,58.44,clear sky
289,makokou,0.5738,12.8642,68.0,68.0,100.0,1012.0,93.0,1.66,69.21,light rain
291,nuuk,64.1835,-51.7216,29.01,29.01,50.0,1000.0,0.0,29.93,16.41,clear sky
292,longyearbyen,78.2186,15.6401,19.24,19.24,86.0,1007.0,75.0,2.3,19.24,broken clouds
293,giera,45.4072,20.9922,55.26,55.49,89.0,1021.0,100.0,7.76,54.66,overcast clouds
294,clinton,42.587,-82.9199,43.57,46.72,76.0,1019.0,90.0,4.61,40.96,overcast clouds
295,bacolod,10.6667,122.95,85.24,85.24,69.0,1011.0,52.0,8.59,92.88,broken clouds
296,praia,14.9215,-23.5087,77.54,77.54,69.0,1012.0,20.0,11.5,78.24,few clouds
297,dunedin,-45.8742,170.5036,56.8,56.8,69.0,1024.0,90.0,14.0,55.44,overcast clouds
298,kijang,35.2442,129.2139,64.13,64.13,49.0,1028.0,2.0,8.72,62.55,clear sky
299,lata,40.1629,-8.3327,47.93,52.03,69.0,1021.0,0.0,3.87,46.58,clear sky
301,luderitz,-26.6481,15.1594,54.84,54.84,87.0,1017.0,0.0,7.58,54.12,clear sky
302,sao filipe,14.8961,-24.4956,80.47,80.47,65.0,1012.0,0.0,4.16,83.03,clear sky
303,maumere,-8.6199,122.2111,85.71,85.71,66.0,1013.0,92.0,1.63,92.75,overcast clouds
304,wajid,3.8093,43.2471,74.52,74.52,82.0,1013.0,72.0,13.47,75.52,broken clouds
305,okha,53.5739,142.9478,40.78,40.78,80.0,1006.0,100.0,16.08,32.52,overcast clouds
306,beira,-19.8436,34.8389,68.09,68.09,88.0,1012.0,0.0,4.61,68.74,clear sky
307,sao domingos do maranhao,-5.5758,-44.3853,74.73,74.73,93.0,1011.0,93.0,2.75,76.28,overcast clouds
308,nantucket,41.2835,-70.0995,60.94,64.45,85.0,1013.0,1.0,10.36,60.73,clear sky
309,vanimo,-2.6741,141.3028,85.53,85.53,61.0,1012.0,100.0,4.36,90.55,overcast clouds
310,tarko-sale,64.9225,77.785,27.18,27.18,96.0,993.0,94.0,12.06,16.68,overcast clouds
311,waingapu,-9.6567,120.2641,87.84,87.84,52.0,1013.0,16.0,3.24,91.51,few clouds
312,nelson bay,-32.7167,152.15,77.79,89.29,69.0,1010.0,1.0,5.01,78.51,clear sky
313,boa vista,2.8197,-60.6733,78.78,78.78,78.0,1011.0,20.0,2.3,78.78,few clouds
314,borujerd,33.8973,48.7516,44.58,44.58,62.0,1021.0,0.0,1.72,44.58,clear sky
315,tingo maria,-9.2895,-76.0088,76.62,76.62,76.0,1011.0,99.0,2.17,77.56,overcast clouds
316,yerbogachen,61.2767,108.0108,36.88,36.88,73.0,1013.0,61.0,9.13,30.2,broken clouds
317,bela,25.9333,81.9833,73.08,73.08,57.0,1014.0,0.0,1.32,72.77,clear sky
318,kiruna,67.8557,20.2251,16.72,16.72,93.0,1004.0,90.0,3.44,11.26,overcast clouds
319,sechura,-5.5569,-80.8222,66.94,66.94,80.0,1015.0,100.0,13.89,67.1,overcast clouds
320,tsogni,-2.7942,10.0988,75.83,75.83,88.0,1011.0,100.0,5.57,77.25,overcast clouds
321,itacoatiara,-3.1431,-58.4442,79.9,79.9,73.0,1010.0,100.0,2.35,79.9,overcast clouds
322,kampot,10.6167,104.1833,84.25,84.25,90.0,1015.0,97.0,5.66,96.85,light rain
323,yuzhno-kurilsk,44.0306,145.8556,48.06,48.06,72.0,1014.0,94.0,2.98,48.06,overcast clouds
324,suslovo,56.2167,88.1167,37.2,37.2,58.0,1023.0,100.0,17.49,27.48,overcast clouds
325,santa cruz de la palma,28.6835,-17.7642,69.94,69.94,83.0,1019.0,40.0,11.5,70.54,scattered clouds
326,najran,17.4924,44.1277,61.45,61.45,37.0,1020.0,94.0,1.05,59.04,overcast clouds
327,vicuna,-30.0319,-70.7081,58.77,58.77,65.0,1017.0,0.0,2.21,57.4,clear sky
328,goderich,43.7501,-81.7165,39.43,41.92,75.0,1018.0,100.0,5.75,35.26,overcast clouds
329,faya,18.3851,42.4509,54.12,55.51,36.0,1021.0,98.0,6.02,50.92,overcast clouds
330,chapais,49.7834,-74.8492,29.98,29.98,81.0,1016.0,100.0,2.68,29.98,overcast clouds
331,tura,25.5198,90.2201,71.82,71.82,71.0,1015.0,0.0,2.48,72.03,clear sky
332,ranong,9.9658,98.6348,80.53,80.53,80.0,1014.0,100.0,3.15,85.37,overcast clouds
333,figeac,44.75,1.9167,36.93,42.55,94.0,1025.0,0.0,2.35,36.93,clear sky
334,bosaso,11.2842,49.1816,76.59,76.59,62.0,1015.0,90.0,5.44,76.86,overcast clouds
335,balykshi,47.0667,51.8667,53.6,53.6,94.0,1021.0,75.0,13.42,53.08,mist
336,mingaora,34.7758,72.3625,56.89,56.89,59.0,1014.0,0.0,4.21,55.06,clear sky
337,fuyang,32.9,115.8167,61.03,61.03,44.0,1030.0,0.0,6.82,58.91,clear sky
338,anadyr,64.75,177.4833,12.7,12.7,79.0,1004.0,75.0,15.66,0.1,broken clouds
339,choix,26.7092,-108.3219,78.85,78.85,41.0,1010.0,0.0,2.26,78.85,clear sky
340,atambua,-9.1061,124.8925,88.18,88.18,54.0,1012.0,41.0,4.85,92.89,scattered clouds
341,kangalassy,62.3464,129.9628,28.33,28.33,94.0,1006.0,100.0,3.65,24.28,light snow
342,wellington,-41.2866,174.7756,59.04,61.77,62.0,1025.0,88.0,10.36,57.56,overcast clouds
343,vangaindrano,-23.35,47.6,68.68,68.68,83.0,1016.0,100.0,0.69,69.15,overcast clouds
344,kericho,-0.3677,35.2831,53.62,53.62,89.0,1016.0,10.0,4.59,52.86,clear sky
345,copiapo,-27.3667,-70.3333,53.29,53.29,70.0,1018.0,45.0,1.88,51.62,scattered clouds
347,port moresby,-9.4431,147.1797,85.42,85.42,70.0,1011.0,75.0,12.66,93.69,haze
348,chapleau,47.8405,-83.4034,28.98,28.98,85.0,1016.0,26.0,4.23,24.33,scattered clouds
349,mobaye,4.319,21.1786,69.69,69.69,97.0,1012.0,97.0,2.19,70.92,moderate rain
350,nisia floresta,-6.0911,-35.2086,80.98,81.41,86.0,1012.0,71.0,5.99,87.57,broken clouds
352,aitape,-3.1374,142.3475,86.5,86.5,59.0,1011.0,97.0,5.82,91.69,overcast clouds
353,san luis,-33.295,-66.3356,56.52,56.52,84.0,1010.0,31.0,14.94,55.81,scattered clouds
354,hervey bay,-25.2986,152.8535,86.04,86.04,83.0,1016.0,6.0,19.62,98.64,clear sky
356,nurlat,54.4277,50.8051,45.68,45.68,91.0,1008.0,4.0,13.0,39.69,clear sky
357,hambantota,6.1241,81.1185,81.14,81.14,74.0,1014.0,84.0,11.25,85.59,broken clouds
358,north bend,43.4065,-124.2243,55.65,57.11,91.0,1012.0,90.0,8.05,55.2,overcast clouds
359,thomastown,52.5267,-7.1372,50.02,52.09,94.0,1021.0,100.0,8.3,49.14,overcast clouds
360,zaltan,32.947,11.8665,77.94,77.94,40.0,1012.0,1.0,10.89,77.31,clear sky
361,tadine,-21.55,167.8833,78.48,78.48,72.0,1015.0,2.0,3.18,79.41,clear sky
362,rio grande city,26.3798,-98.8203,73.94,75.74,58.0,1013.0,100.0,15.3,73.76,overcast clouds
363,airai,-8.9266,125.4092,79.79,79.79,40.0,1013.0,60.0,1.68,79.79,broken clouds
364,anloga,5.7947,0.8973,77.22,77.22,84.0,1011.0,100.0,9.82,78.58,moderate rain
365,muscat,23.6139,58.5922,80.62,80.62,61.0,1013.0,0.0,3.65,82.71,clear sky
366,coahuayana,18.7333,-103.6833,80.08,80.08,91.0,1011.0,100.0,3.94,86.02,overcast clouds
367,zlobin,45.2924,14.6541,46.85,47.5,94.0,1019.0,75.0,2.3,46.85,broken clouds
368,mizan teferi,6.9833,35.5833,62.4,62.4,69.0,1015.0,60.0,3.44,61.59,broken clouds
369,cherskiy,68.75,161.3,1.11,1.11,96.0,1012.0,100.0,3.15,-5.96,overcast clouds
370,marawi,7.9986,124.2928,74.64,74.64,72.0,1012.0,100.0,2.86,75.18,overcast clouds
371,bournemouth,50.7205,-1.8795,48.87,50.83,89.0,1026.0,99.0,5.28,46.72,overcast clouds
372,dmanisi,41.5251,44.3472,34.54,34.54,56.0,1022.0,0.0,3.76,31.26,clear sky
373,dhar,22.6,75.3,68.04,68.04,62.0,1015.0,5.0,1.39,67.46,clear sky
374,codrington,-38.2667,141.9667,56.79,56.79,76.0,1018.0,62.0,14.47,55.74,broken clouds
375,dali,25.7,100.1833,56.62,56.62,88.0,1020.0,86.0,2.42,56.12,overcast clouds
376,union,40.6334,-74.2663,57.06,61.93,75.0,1014.0,1.0,4.61,55.99,clear sky
377,meulaboh,4.1363,96.1285,78.8,78.8,83.0,1013.0,98.0,1.99,78.8,overcast clouds
378,divnomorskoye,44.5011,38.1353,58.6,58.6,78.0,1020.0,0.0,7.16,57.83,clear sky
379,parana,-31.732,-60.5238,70.34,71.51,60.0,1005.0,100.0,10.54,69.89,light rain
380,bolobo,-2.1667,16.2333,71.13,71.13,97.0,1011.0,56.0,2.86,72.5,broken clouds
381,lima,-12.0432,-77.0282,61.63,62.91,81.0,999.0,75.0,12.66,61.3,broken clouds
382,correntina,-13.3433,-44.6367,72.86,72.86,83.0,1012.0,72.0,0.09,73.74,broken clouds
383,abalak,58.1286,68.5944,43.72,43.72,94.0,995.0,100.0,12.95,37.2,overcast clouds
384,wenchi,7.7392,-2.1046,70.99,70.99,97.0,1011.0,48.0,3.91,72.34,scattered clouds
385,teya,60.3778,92.6267,32.77,32.77,78.0,1016.0,97.0,13.06,23.31,overcast clouds
386,pelagiada,45.2064,42.0236,51.24,51.24,57.0,1020.0,0.0,2.24,48.74,clear sky
387,manadhoo,5.7667,73.3833,81.54,81.54,77.0,1013.0,100.0,12.8,87.01,overcast clouds
388,anchorage,61.2181,-149.9003,37.33,40.42,84.0,976.0,90.0,3.0,35.35,overcast clouds
389,pombia,45.653,8.6336,48.18,53.62,85.0,1007.0,0.0,5.53,45.77,clear sky
390,denpasar,-8.65,115.2167,85.71,85.71,70.0,1013.0,40.0,6.91,94.37,scattered clouds
391,hope,33.6671,-93.5916,68.47,69.85,52.0,1016.0,0.0,5.53,67.46,clear sky
392,champerico,14.3,-91.9167,79.09,81.36,80.0,1012.0,40.0,6.22,79.09,scattered clouds
393,illela,13.7292,5.2975,83.82,83.82,48.0,1010.0,56.0,12.24,84.51,broken clouds
394,palatka,29.6486,-81.6376,72.5,76.44,79.0,1007.0,66.0,3.65,73.17,broken clouds
395,oussouye,12.485,-16.5469,80.78,80.78,83.0,1010.0,14.0,5.64,86.49,few clouds
397,mamakan,57.8161,114.0028,35.01,35.01,67.0,1022.0,91.0,1.45,35.01,overcast clouds
398,lewistown,40.5992,-77.5714,53.33,56.48,94.0,1015.0,90.0,0.0,52.79,overcast clouds
399,nouadhibou,20.931,-17.0347,70.2,70.2,78.0,1013.0,73.0,15.5,70.57,broken clouds
400,beipiao,41.7919,120.7792,51.46,51.46,30.0,1029.0,0.0,5.17,47.71,clear sky
401,cockburn town,21.4612,-71.1419,83.46,83.46,75.0,1016.0,96.0,19.06,90.86,overcast clouds
402,beringovskiy,63.05,179.3167,17.4,17.4,80.0,1003.0,100.0,14.25,4.8,overcast clouds
403,palasa,18.7667,84.4167,78.58,78.58,76.0,1014.0,55.0,3.38,79.72,broken clouds
404,yakeshi,49.2833,120.7333,39.0,39.0,52.0,1024.0,10.0,9.24,32.76,clear sky
405,kavieng,-2.5744,150.7967,84.97,84.97,67.0,1011.0,21.0,13.56,91.54,few clouds
406,polovinnoye,54.7914,65.9864,44.2,44.2,77.0,1006.0,95.0,18.03,36.45,overcast clouds
407,rosetta,31.4044,30.4164,67.82,67.82,66.0,1020.0,0.0,10.02,67.41,clear sky
408,ilulissat,69.2167,-51.1,19.42,19.42,58.0,1003.0,98.0,11.5,7.23,overcast clouds
409,avellino,40.9144,14.7887,59.22,64.74,99.0,1018.0,98.0,2.13,59.49,overcast clouds
411,ayagoz,47.9714,80.4392,29.37,29.37,66.0,1038.0,32.0,9.31,20.86,scattered clouds
412,nizhneangarsk,55.7833,109.55,35.13,35.13,59.0,1024.0,70.0,1.54,35.13,broken clouds
413,warrnambool,-38.3833,142.4833,54.81,54.81,84.0,1018.0,81.0,16.44,53.94,broken clouds
414,kishi,9.0833,3.85,72.34,72.34,93.0,1011.0,100.0,5.35,73.63,overcast clouds
415,cam ranh,11.9214,109.1591,85.96,85.96,66.0,1015.0,20.0,5.75,93.31,few clouds
416,birjand,32.8663,59.2211,28.87,28.87,16.0,1023.0,0.0,9.22,20.28,clear sky
417,vetovo,43.7,26.2667,57.87,57.87,60.0,1017.0,100.0,4.76,56.17,overcast clouds
418,severnoye,56.3491,78.3619,37.31,37.31,96.0,1010.0,100.0,17.81,27.54,overcast clouds
419,port hardy,50.6996,-127.4199,48.38,48.38,87.0,1002.0,90.0,5.75,45.88,light rain
420,trois-rivieres,46.3501,-72.5491,42.08,46.29,86.0,1015.0,40.0,6.91,37.69,scattered clouds
421,sarkand,45.41,79.9186,31.48,31.48,66.0,1041.0,32.0,6.64,25.12,scattered clouds
422,pandan niog,6.2282,120.5631,78.67,78.67,86.0,1012.0,100.0,6.8,80.28,heavy intensity rain
423,peterhead,57.5058,-1.7981,33.76,42.12,68.0,1018.0,100.0,10.92,25.48,overcast clouds
424,progreso,21.2833,-89.6667,81.1,81.1,84.0,1013.0,100.0,13.6,87.49,overcast clouds
425,krutikha,53.9599,81.2093,37.08,37.08,63.0,1022.0,100.0,19.1,26.89,overcast clouds
426,guerrero negro,27.9769,-114.0611,66.99,66.99,81.0,1012.0,0.0,15.68,67.19,clear sky
427,mahebourg,-20.4081,57.7,73.69,74.25,94.0,1019.0,75.0,13.8,75.18,broken clouds
428,aviles,43.5547,-5.9248,50.27,50.77,85.0,1025.0,0.0,2.3,48.99,clear sky
429,plouzane,48.3833,-4.6167,41.11,42.85,97.0,1026.0,0.0,5.75,37.24,clear sky
430,ambulu,-8.345,113.6058,83.84,83.84,69.0,1014.0,100.0,3.31,89.82,overcast clouds
431,chernaya kholunitsa,58.8511,51.7154,41.65,41.65,82.0,996.0,100.0,11.54,35.08,overcast clouds
432,greensburg,40.3015,-79.5389,49.28,51.93,97.0,1016.0,90.0,3.0,48.87,overcast clouds
433,tessalit,20.1986,1.0114,79.12,79.12,23.0,1011.0,5.0,8.19,79.12,clear sky
434,san policarpo,12.1791,125.5072,78.58,78.58,86.0,1012.0,100.0,5.86,80.19,moderate rain
435,te anau,-45.4167,167.7167,63.75,63.75,48.0,1020.0,99.0,2.82,62.08,light rain
436,ratne,51.6683,24.5303,44.04,44.04,79.0,1011.0,84.0,17.98,36.25,broken clouds
437,ouesso,1.6136,16.0517,69.42,69.42,99.0,1011.0,85.0,0.31,70.72,light rain
438,thabazimbi,-24.5917,27.4116,66.52,66.52,37.0,1011.0,0.0,3.51,64.62,clear sky
439,hami,42.8,93.45,54.25,54.25,29.0,1021.0,13.0,10.18,50.74,few clouds
440,mayo,38.8876,-76.5119,57.42,61.12,85.0,1013.0,1.0,0.0,56.86,haze
441,ancud,-41.8697,-73.8203,47.73,47.73,77.0,1023.0,96.0,9.4,43.45,overcast clouds
442,nago,26.5881,127.9761,75.63,77.07,57.0,1022.0,97.0,13.11,75.58,overcast clouds
443,karaton,-6.3424,106.1045,87.96,87.96,69.0,1014.0,100.0,1.92,99.57,overcast clouds
444,norman wells,65.282,-126.8329,42.84,42.84,65.0,987.0,20.0,9.22,37.49,few clouds
445,whitehorse,60.7161,-135.0538,42.94,43.57,75.0,983.0,75.0,18.99,34.57,broken clouds
446,tuatapere,-46.1333,167.6833,66.18,66.18,52.0,1020.0,93.0,5.46,64.94,overcast clouds
447,berlevag,70.8578,29.0864,33.78,33.78,63.0,1003.0,100.0,18.97,22.62,overcast clouds
448,constitucion,-35.3333,-72.4167,49.17,49.17,84.0,1022.0,1.0,13.13,44.06,clear sky
450,martapura,-3.4167,114.85,86.09,86.09,70.0,1012.0,40.0,3.44,95.29,scattered clouds
451,shafranovo,53.9667,54.7667,44.4,44.4,92.0,1009.0,23.0,13.76,37.83,few clouds
452,zhucheng,35.9947,119.3975,55.85,55.85,48.0,1031.0,41.0,2.33,53.38,scattered clouds
453,porto novo,6.4965,2.6036,78.62,78.62,86.0,1011.0,100.0,5.61,80.22,overcast clouds
454,jibuti,11.5,42.5,78.22,78.22,75.0,1014.0,87.0,11.01,79.27,overcast clouds
455,umm lajj,25.0213,37.2685,77.2,77.2,58.0,1013.0,0.0,10.13,77.34,clear sky
456,vao,-22.6667,167.4833,73.24,73.24,78.0,1016.0,0.0,5.48,73.92,clear sky
457,ambon,-3.6954,128.1814,89.74,89.74,62.0,1011.0,40.0,4.61,100.2,scattered clouds
458,vardo,70.3705,31.1107,35.06,35.06,60.0,1001.0,100.0,20.42,23.88,light rain
459,vila,42.0304,-8.1588,39.42,48.33,92.0,1023.0,1.0,3.74,36.9,clear sky
460,los llanos de aridane,28.6585,-17.9182,65.12,65.95,81.0,1017.0,40.0,11.5,65.14,scattered clouds
462,paraiso,9.8383,-83.8656,68.2,68.88,86.0,1016.0,84.0,1.59,68.76,broken clouds
463,aranos,-24.1333,19.1167,60.15,60.15,30.0,1014.0,0.0,7.9,57.27,clear sky
464,champasak,14.75,106.0,77.88,77.88,74.0,1016.0,100.0,1.83,78.85,overcast clouds
465,nemuro,43.3236,145.575,48.63,48.63,77.0,1013.0,99.0,8.41,44.92,light rain
467,wuwei,37.9281,102.6414,50.7,50.7,49.0,1020.0,100.0,4.97,47.77,overcast clouds
468,shelburne,44.0787,-80.2041,36.77,39.76,88.0,1017.0,100.0,2.48,36.77,overcast clouds
469,gat,31.61,34.7642,65.66,68.4,68.0,1018.0,0.0,4.03,65.12,clear sky
470,shenjiamen,29.9576,122.298,66.42,66.42,55.0,1027.0,100.0,13.98,65.34,overcast clouds
471,irtyshskiy,58.3333,68.1333,44.64,44.64,94.0,995.0,100.0,15.05,37.76,overcast clouds
472,nara,34.6851,135.8049,63.0,63.97,42.0,1023.0,23.0,15.35,60.96,few clouds
474,neiafu,-18.65,-173.9833,79.48,79.48,57.0,1014.0,40.0,10.36,79.48,scattered clouds
475,bet yizhaq,32.3275,34.8888,64.53,69.6,62.0,1018.0,0.0,6.76,63.59,clear sky
476,kamloops,50.6665,-120.3192,51.4,51.75,84.0,1004.0,90.0,3.0,50.2,overcast clouds
477,damaturu,11.747,11.9608,79.48,79.48,57.0,1011.0,17.0,2.73,79.48,few clouds
478,hyeres,43.1167,6.1167,55.87,60.69,68.0,1017.0,0.0,5.75,54.36,clear sky
479,kenora,49.8167,-94.4337,36.18,42.78,87.0,1020.0,75.0,3.44,33.49,broken clouds
480,sabinopolis,-18.6661,-43.0839,62.28,62.28,99.0,1015.0,15.0,2.53,62.85,few clouds
481,yaan,7.3833,8.5667,71.64,71.64,98.0,1012.0,100.0,4.5,73.11,moderate rain
483,pimentel,-6.8367,-79.9342,64.33,64.33,87.0,1015.0,97.0,11.52,64.54,overcast clouds
484,athabasca,54.7169,-113.2854,43.39,44.42,46.0,1005.0,100.0,14.58,36.3,overcast clouds
485,pont-saint-esprit,44.2549,4.6474,49.73,51.13,62.0,1022.0,0.0,17.29,43.79,clear sky
486,emerald,-23.5333,148.1667,96.94,96.94,28.0,1015.0,2.0,13.8,96.44,clear sky
487,makakilo city,21.3469,-158.0858,81.03,82.72,57.0,1018.0,90.0,13.8,82.67,overcast clouds
488,port lavaca,28.615,-96.6261,76.86,78.98,89.0,1016.0,1.0,9.22,78.42,clear sky
489,pitimbu,-7.4706,-34.8086,79.39,79.39,78.0,1012.0,15.0,10.69,79.39,few clouds
490,cerro azul,21.2,-97.7333,72.12,72.12,92.0,1015.0,64.0,0.6,73.36,broken clouds
491,lompoc,34.6391,-120.4579,59.14,66.13,89.0,1014.0,90.0,13.8,58.95,mist
492,abatskoye,56.2875,70.4555,44.8,44.8,82.0,1001.0,100.0,19.62,36.86,overcast clouds
493,tazmalt,36.3868,4.3989,62.98,62.98,78.0,1016.0,100.0,0.83,62.64,overcast clouds
494,asau,46.4333,26.4,50.97,53.76,75.0,1017.0,100.0,4.41,49.3,light rain
495,caruray,10.3094,119.0128,84.61,84.61,72.0,1012.0,25.0,5.75,92.55,scattered clouds
496,kentau,43.5206,68.5094,36.84,36.84,51.0,1035.0,27.0,3.29,34.45,scattered clouds
497,heihe,50.2441,127.4902,52.38,52.38,50.0,1018.0,13.0,6.8,49.66,few clouds
498,yumen,40.2833,97.2,45.16,45.16,27.0,1022.0,0.0,14.7,38.53,clear sky
499,buala,-8.145,159.5921,86.07,86.07,66.0,1012.0,30.0,8.99,93.54,scattered clouds
500,esperance,-33.8667,121.9,62.44,62.44,54.0,1028.0,9.0,9.62,60.93,clear sky
501,coquimbo,-29.9533,-71.3436,55.13,55.13,87.0,1018.0,0.0,3.44,54.43,clear sky
502,hay river,60.8156,-115.7999,42.76,42.76,61.0,1002.0,20.0,16.11,35.06,few clouds
503,salta,-24.7859,-65.4117,66.47,71.89,49.0,1007.0,0.0,1.99,65.12,clear sky
504,sur,22.5667,59.5289,80.53,80.53,63.0,1013.0,0.0,4.63,82.85,clear sky
505,praia da vitoria,38.7333,-27.0667,66.45,67.75,88.0,1024.0,40.0,5.46,66.94,scattered clouds
506,oranjestad,12.524,-70.027,82.35,82.35,78.0,1012.0,20.0,17.27,89.1,few clouds
507,basco,20.4487,121.9702,80.06,80.06,81.0,1017.0,85.0,25.48,84.49,overcast clouds
508,dingle,10.9995,122.6711,82.92,82.92,79.0,1011.0,59.0,11.95,90.81,broken clouds
509,dengzhou,37.8086,120.7508,56.16,56.16,46.0,1031.0,100.0,1.45,53.64,overcast clouds
510,derzhavinsk,51.1,66.3167,40.21,40.21,76.0,1019.0,29.0,22.53,30.18,scattered clouds
511,bairnsdale,-37.8333,147.6167,63.1,69.46,85.0,1012.0,84.0,1.99,63.1,light rain
512,kenai,60.5544,-151.2583,39.38,41.14,82.0,976.0,90.0,9.22,33.22,overcast clouds
513,shimoda,34.6667,138.95,65.1,65.1,69.0,1018.0,65.0,5.64,64.56,broken clouds
514,chumikan,54.7183,135.315,41.97,41.97,67.0,1009.0,91.0,22.26,32.58,overcast clouds
515,kainantu,-6.2887,145.8655,77.32,77.32,46.0,1013.0,97.0,4.94,76.91,overcast clouds
516,abha,18.2164,42.5053,53.85,55.22,41.0,1028.0,0.0,0.0,50.86,clear sky
518,hovd,48.0056,91.6419,40.73,40.73,34.0,1022.0,100.0,1.16,40.73,overcast clouds
519,mahendranagar,28.9167,80.3333,71.6,71.6,83.0,1015.0,0.0,2.8,72.36,clear sky
520,satipo,-11.2522,-74.6386,79.18,79.18,65.0,1010.0,96.0,2.42,79.18,overcast clouds
521,tommot,58.9564,126.2925,38.61,38.61,79.0,1012.0,100.0,10.74,31.6,overcast clouds
522,methven,-43.6333,171.65,62.02,62.02,65.0,1040.0,100.0,4.0,60.98,overcast clouds
523,hyderabad,17.3753,78.4744,76.51,76.51,73.0,1017.0,20.0,3.44,77.29,few clouds
524,leerdam,51.8933,5.0917,44.13,50.05,95.0,1024.0,52.0,4.88,41.41,broken clouds
526,miri,4.4148,114.0089,82.54,82.54,78.0,1013.0,40.0,4.61,89.58,scattered clouds
527,tres arroyos,-38.3739,-60.2798,47.16,47.16,96.0,1012.0,97.0,4.56,45.18,overcast clouds
528,bandarbeyla,9.4942,50.8122,76.5,76.5,81.0,1015.0,57.0,3.33,77.65,broken clouds
529,hamilton,39.1834,-84.5333,51.84,53.58,96.0,1016.0,90.0,5.75,51.22,mist
530,okulovka,58.4008,33.2908,39.81,39.81,93.0,993.0,100.0,10.6,33.15,overcast clouds
531,helena,46.5927,-112.0361,55.38,60.17,52.0,1002.0,1.0,1.99,53.06,clear sky
532,mpika,-11.8343,31.4529,63.23,63.23,57.0,1013.0,53.0,2.73,61.93,broken clouds
533,nizhniy odes,63.6445,54.856,37.04,37.04,85.0,983.0,100.0,11.74,29.23,overcast clouds
534,haapiti,-17.5667,-149.8667,72.72,73.13,87.0,1007.0,93.0,29.93,73.78,moderate rain
535,bonthe,7.5264,-12.505,77.07,77.07,87.0,1011.0,98.0,3.24,78.57,light rain
536,hofn,64.2539,-15.2082,46.98,46.98,98.0,995.0,100.0,16.37,40.42,light rain
538,cairns,-16.9167,145.7667,88.92,96.94,58.0,1014.0,40.0,9.22,96.17,scattered clouds
539,baringo,0.4667,35.9667,70.7,70.7,61.0,1014.0,59.0,4.61,70.34,broken clouds
540,artvin,41.1667,41.8333,45.68,45.68,51.0,1023.0,0.0,1.72,45.68,clear sky
541,khani,41.9563,42.9566,36.97,36.97,56.0,1022.0,0.0,5.26,32.7,clear sky
542,mount isa,-20.7333,139.5,91.17,91.17,27.0,1016.0,97.0,16.11,88.63,overcast clouds
543,tevriz,57.509,72.4042,42.12,42.12,91.0,998.0,100.0,13.27,35.08,moderate rain
544,erzin,36.9559,36.2,52.52,52.52,36.0,1019.0,0.0,2.91,49.17,clear sky
545,saint-joseph,-21.3667,55.6167,70.66,73.76,81.0,1019.0,17.0,3.96,71.24,few clouds
546,pokhara,28.2333,83.9833,65.05,65.05,92.0,1017.0,99.0,0.74,65.57,overcast clouds
547,poplar bluff,36.757,-90.3929,51.33,56.68,93.0,1017.0,1.0,0.0,50.54,clear sky
548,yushan,31.3776,120.9543,67.84,67.89,47.0,1029.0,16.0,6.8,66.52,light rain
